Request,Response,Time
what your name,I'm Corgiman,"21:49:17:PM, Date: 28/11/2022"
wwhat your name,I'm Corgiman,"21:53:56:PM, Date: 28/11/2022"
wwhat your name,Corgiman is my name,"21:54:01:PM, Date: 28/11/2022"
what your name,Corgiman is my name,"21:54:30:PM, Date: 28/11/2022"
what your name,I'm Corgiman the assistant of DAC,"21:54:43:PM, Date: 28/11/2022"
what your name,My name's Corgiman,"21:54:50:PM, Date: 28/11/2022"
hi,It's good to see you,"22:03:29:PM, Date: 28/11/2022"
my name's linh,My name's Corgiman,"22:03:46:PM, Date: 28/11/2022"
hi,It's a pleasure to meet you,"16:01:20:PM, Date: 03/12/2022"
hi,It's a pleasure to meet you,"13:55:52:PM, Date: 28/12/2022"
hi,Hello!,"13:56:29:PM, Date: 28/12/2022"
hi,Hi there,"14:01:17:PM, Date: 28/12/2022"
how old are you,I'm 20,"14:01:45:PM, Date: 28/12/2022"
hi,Hello!,"14:03:01:PM, Date: 28/12/2022"
hi,Pleased to meet you,"14:03:56:PM, Date: 28/12/2022"
hi,It's a pleasure to meet you,"14:04:50:PM, Date: 28/12/2022"
what your name,I'm Corgiman the assistant of DAC,"14:05:23:PM, Date: 28/12/2022"
what do we lean,Can you guess what we will learn today ?,"14:06:19:PM, Date: 28/12/2022"
hi,Pleased to meet you,"14:08:20:PM, Date: 28/12/2022"
hi,Hello!,"15:38:05:PM, Date: 30/12/2022"
hi,It's a pleasure to meet you,"15:39:31:PM, Date: 30/12/2022"
what your name,I'm Corgiman,"15:39:52:PM, Date: 30/12/2022"
hi,It's good to see you,"15:40:24:PM, Date: 30/12/2022"
sassa,What can I do for you?,"15:41:24:PM, Date: 30/12/2022"
hi,It's nice to meet you,"15:42:44:PM, Date: 30/12/2022"
hi,Hi there,"15:43:35:PM, Date: 30/12/2022"
hi,nothing,"15:43:41:PM, Date: 30/12/2022"
hi,It's nice to meet you,"15:44:30:PM, Date: 30/12/2022"
hi,Hey!,"15:44:37:PM, Date: 30/12/2022"
ccc,Hi there,"15:44:46:PM, Date: 30/12/2022"
what do we learn today,We will learn about pandas in python,"15:45:20:PM, Date: 30/12/2022"
hi,Hi there,"15:49:01:PM, Date: 30/12/2022"
sadas,It's nice to meet you,"15:50:16:PM, Date: 30/12/2022"
hjiuu,Pleased to meet you,"15:50:28:PM, Date: 30/12/2022"
hi,It's a pleasure to meet you,"16:27:59:PM, Date: 30/12/2022"
hi,It's good to see you,"14:06:13:PM, Date: 31/12/2022"
hi,Hey!,"14:06:23:PM, Date: 31/12/2022"
nn,What can I do for you?,"14:13:01:PM, Date: 31/12/2022"
hi,It's a pleasure to meet you,"14:14:30:PM, Date: 31/12/2022"
hi,Hi there,"14:14:38:PM, Date: 31/12/2022"
hi,Hey!,"14:16:29:PM, Date: 31/12/2022"
hi,Hey!,"14:17:22:PM, Date: 31/12/2022"
rtdfghbjnkmsxdcfg,Hi there,"14:17:42:PM, Date: 31/12/2022"
,Hello!,"14:18:27:PM, Date: 31/12/2022"
bvfrewsdcfghui'ss,Pleased to meet you,"14:18:38:PM, Date: 31/12/2022"
hi,Pleased to meet you,"14:29:06:PM, Date: 31/12/2022"
mmisauassja,"Sorry, I can't understand you","14:29:15:PM, Date: 31/12/2022"
ggggggh,Please give me more info,"14:29:24:PM, Date: 31/12/2022"
ggggggh,Please give me more info,"14:29:38:PM, Date: 31/12/2022"
mmisauassja,Please give me more info,"14:29:43:PM, Date: 31/12/2022"
mk,"Sorry, I can't understand you","14:29:53:PM, Date: 31/12/2022"
zz,Please give me more info,"14:29:58:PM, Date: 31/12/2022"
m,Please give me more info,"14:30:02:PM, Date: 31/12/2022"
what name,I'm Corgiman,"14:30:16:PM, Date: 31/12/2022"
hi,Hello!,"14:36:50:PM, Date: 31/12/2022"
hi,It's a pleasure to meet you,"14:38:05:PM, Date: 31/12/2022"
hi,It's good to see you,"14:41:06:PM, Date: 31/12/2022"
what your name,My name's Corgiman,"14:41:17:PM, Date: 31/12/2022"
m,Not sure I understand,"14:42:07:PM, Date: 31/12/2022"
hi,Hello!,"14:42:15:PM, Date: 31/12/2022"
hi,It's good to see you,"14:31:13:PM, Date: 01/01/2023"
k,"Sorry, I can't understand you","14:45:42:PM, Date: 01/01/2023"
vvv,"Sorry, I can't understand you","14:45:47:PM, Date: 01/01/2023"
hi,Hey!,"14:45:55:PM, Date: 01/01/2023"
hi,What can I do for you?,"14:51:47:PM, Date: 01/01/2023"
hi,Hello!,"23:36:51:PM, Date: 02/01/2023"
what your name,You can call me Corgiman!,"23:37:02:PM, Date: 02/01/2023"
hi,It's a pleasure to meet you,"23:42:14:PM, Date: 02/01/2023"
what your name,You can call me Corgiman!,"23:42:21:PM, Date: 02/01/2023"
asas,Please give me more info,"23:43:12:PM, Date: 02/01/2023"
